Epoch,LLDLwFW_valacc,LLDLwoFW_valacc,DenseModel_valacc,LLDLwFW_trainacc,LLDLwoFW_trainacc,DenseModel_trainacc,LLDLwoFW_lr_0.001_valacc,DenseModel_lr_0.001_valacc,LLDLwoFW_lr_0.001_trainacc,DenseModel_lr_0.001_trainacc
65,0.839999974,0.74000001,0.370000005,0.936666667,0.49000001,0.464444458,0.769999981,0.680000007,0.727777779,0.793333352
66,0.870000005,0.74000001,0.74000001,0.915555537,0.533333361,0.49444443,0.709999979,0.769999981,0.73555553,0.813333333
67,0.870000005,0.430000007,0.74000001,0.916666687,0.544444442,0.482222229,0.779999971,0.670000017,0.74888891,0.814444423
68,0.860000014,0.439999998,0.74000001,0.914444447,0.527777791,0.50555557,0.75,0.699999988,0.74777776,0.826666653
69,0.819999993,0.49000001,0.389999986,0.914444447,0.563333333,0.517777801,0.660000026,0.709999979,0.781111121,0.823333323
70,0.839999974,0.74000001,0.360000014,0.920000017,0.479999989,0.485555559,0.689999998,0.769999981,0.794444442,0.844444454
71,0.819999993,0.74000001,0.74000001,0.938888907,0.49000001,0.50777775,0.430000007,0.769999981,0.76222223,0.845555544
72,0.829999983,0.460000008,0.349999994,0.941111088,0.468888879,0.527777791,0.74000001,0.74000001,0.787777781,0.851111114
73,0.829999983,0.430000007,0.74000001,0.922222197,0.50999999,0.481111109,0.75,0.699999988,0.773333311,0.865555584
74,0.74000001,0.74000001,0.360000014,0.912222207,0.526666641,0.513333321,0.74000001,0.720000029,0.783333361,0.861111104
75,0.879999995,0.439999998,0.360000014,0.934444427,0.566666663,0.533333361,0.730000019,0.75999999,0.75222224,0.872222245
76,0.850000024,0.409999996,0.340000004,0.942222238,0.49333334,0.445555568,0.730000019,0.74000001,0.798888862,0.867777765
77,0.810000002,0.449999988,0.74000001,0.933333337,0.5,0.554444432,0.629999995,0.699999988,0.765555561,0.876666665
78,0.839999974,0.74000001,0.340000004,0.938888907,0.548888862,0.48888889,0.469999999,0.75999999,0.804444432,0.885555565
79,0.829999983,0.439999998,0.400000006,0.934444427,0.484444439,0.529999971,0.720000029,0.689999998,0.794444442,0.895555556
80,0.850000024,0.74000001,0.370000005,0.924444437,0.49000001,0.518888891,0.579999983,0.699999988,0.804444432,0.881111085
81,0.850000024,0.439999998,0.74000001,0.887777805,0.49888888,0.50666666,0.680000007,0.769999981,0.818888903,0.901111126
82,0.879999995,0.449999988,0.430000007,0.873333335,0.516666651,0.518888891,0.699999988,0.75,0.804444432,0.902222216
83,0.829999983,0.74000001,0.74000001,0.894444466,0.51444447,0.541111112,0.769999981,0.689999998,0.794444442,0.914444447
84,0.879999995,0.419999987,0.74000001,0.891111135,0.515555561,0.50333333,0.699999988,0.769999981,0.786666691,0.910000026
