Epoch,LLDLwFW_valauc,LLDLwoFW_valauc,DenseModel_valauc,LLDLwFW_valacc,LLDLwoFW_valacc,DenseModel_valacc,LLDLwFW_trainauc,LLDLwoFW_trainauc,DenseModel_trainauc,LLDLwFW_trainacc,LLDLwoFW_trainacc,DenseModel_trainacc
84,0.884355366,0.676455319,0.697505236,0.850000024,0.730000019,0.689999998,0.998676658,0.725622654,0.97709316,0.99555558,0.701111138,0.912222207
85,0.907484353,0.700103998,0.684251606,0.870000005,0.74000001,0.699999988,0.999932051,0.786070228,0.981888175,0.99666667,0.806666672,0.920000017
86,0.89656955,0.633835793,0.703222513,0.879999995,0.75999999,0.74000001,0.999986947,0.757206976,0.984369755,0.99777776,0.712222219,0.922222197
87,0.901507258,0.690488577,0.693606973,0.850000024,0.75,0.709999979,0.999081135,0.762060046,0.976339221,0.99666667,0.75333333,0.917777777
88,0.864864826,0.674376369,0.686330557,0.819999993,0.75,0.660000026,0.998042583,0.740172446,0.97598666,0.99222225,0.677777767,0.912222207
89,0.875519633,0.676975071,0.708679855,0.850000024,0.730000019,0.699999988,0.979125142,0.731760263,0.985100806,0.958888888,0.771111131,0.928888917
90,0.870062351,0.647349298,0.696725667,0.839999974,0.75,0.699999988,0.995713115,0.761691213,0.986576259,0.973333359,0.774444461,0.941111088
91,0.890072823,0.690228701,0.706341028,0.829999983,0.769999981,0.720000029,0.995454192,0.775629401,0.986608624,0.980000019,0.785555542,0.944444418
92,0.860966802,0.724532247,0.683991671,0.860000014,0.75999999,0.709999979,0.999987125,0.734151185,0.989895761,0.99666667,0.693333328,0.946666658
93,0.85836792,0.73258841,0.717515588,0.860000014,0.75999999,0.709999979,0.999773562,0.753466845,0.991451979,0.99222225,0.797777772,0.948888898
94,0.861486554,0.698284864,0.685810804,0.829999983,0.75999999,0.730000019,0.996703029,0.775694132,0.984576643,0.99666667,0.75666666,0.933333337
95,0.87915802,0.632796228,0.727131009,0.850000024,0.25999999,0.709999979,0.997880876,0.760015309,0.993512988,0.99000001,0.74888891,0.958888888
96,0.862526,0.660602927,0.725311935,0.829999983,0.74000001,0.74000001,0.999928772,0.762567997,0.99503696,0.99777776,0.772222221,0.961111128
97,0.870842099,0.621621609,0.705041647,0.870000005,0.709999979,0.699999988,0.996431291,0.752745211,0.993852675,0.98888886,0.734444439,0.957777798
98,0.870582104,0.604469955,0.705301464,0.870000005,0.74000001,0.680000007,0.999582529,0.756553411,0.993292987,0.98888886,0.769999981,0.954444468
99,0.860187054,0.666320205,0.700103998,0.860000014,0.730000019,0.680000007,0.999145806,0.773141384,0.993092299,0.99666667,0.768888891,0.959999979
100,0.87084192,0.692827463,0.679573834,0.860000014,0.769999981,0.699999988,0.999132872,0.773594379,0.997107506,0.99777776,0.775555551,0.964444458
101,0.852390826,0.726091504,0.700103939,0.850000024,0.730000019,0.699999988,0.999851167,0.769821882,0.990031719,0.99333334,0.783333361,0.953333318
102,0.87084198,0.719854534,0.686330557,0.860000014,0.800000012,0.670000017,0.999935329,0.776373625,0.990753055,0.99555558,0.76222223,0.954444468
103,0.854469895,0.712578058,0.700363874,0.850000024,0.800000012,0.720000029,0.99999994,0.791224182,0.99588114,0.99666667,0.811111093,0.963333309
104,0.855769157,0.708939791,0.688929379,0.850000024,0.779999971,0.689999998,1,0.760604143,0.998353183,1,0.75555557,0.974444449
105,0.855769157,0.680093646,0.711538374,0.850000024,0.769999981,0.689999998,1,0.789923608,0.996444285,1,0.824444473,0.974444449
106,0.855769217,0.688409507,0.722453237,0.850000024,0.75999999,0.769999981,1,0.772410095,0.998877227,1,0.773333311,0.982222199
107,0.855769217,0.712837815,0.690748453,0.850000024,0.75,0.74000001,1,0.787620008,0.998327255,1,0.787777781,0.976666689
108,0.855769157,0.658264041,0.710758805,0.850000024,0.680000007,0.709999979,1,0.803269744,0.999055147,1,0.807777762,0.984444439
109,0.855769157,0.693607152,0.737006307,0.850000024,0.25999999,0.709999979,1,0.766554058,0.999200821,1,0.768888891,0.984444439
110,0.855769157,0.669698596,0.71803546,0.850000024,0.769999981,0.769999981,1,0.781773567,0.999436975,1,0.793333352,0.98555553
111,0.85836792,0.653066576,0.710239053,0.850000024,0.769999981,0.709999979,0.99999994,0.76787734,0.996107638,1,0.75444442,0.968888879
112,0.857068479,0.659823298,0.71387738,0.850000024,0.730000019,0.769999981,0.99999994,0.795177996,0.996563911,1,0.796666682,0.970000029
113,0.857848167,0.659303606,0.750519872,0.850000024,0.720000029,0.75,1,0.795229733,0.997738421,1,0.811111093,0.971111119
114,0.857848167,0.666060328,0.711018741,0.850000024,0.730000019,0.720000029,1,0.793463111,0.999184728,1,0.813333333,0.99000001
115,0.857848167,0.64371103,0.678534329,0.850000024,0.75999999,0.689999998,1,0.804010689,0.999702334,1,0.808888912,0.99222225
116,0.857588232,0.640332699,0.701403379,0.850000024,0.699999988,0.730000019,1,0.800723433,0.999944925,1,0.811111093,0.99555558
117,0.86044693,0.651247382,0.713357568,0.850000024,0.74000001,0.689999998,1,0.782721519,0.999987066,1,0.797777772,0.99666667
118,0.858887613,0.6457901,0.678014576,0.850000024,0.730000019,0.720000029,0.99999994,0.791415095,0.999974072,1,0.818888903,0.99777776
119,0.860186994,0.680353522,0.72011435,0.850000024,0.730000019,0.74000001,1,0.802622557,0.998844862,1,0.802222252,0.98777777
120,0.859927118,0.706860781,0.708419919,0.850000024,0.75,0.699999988,1,0.788082719,0.999272108,1,0.790000021,0.98777777
121,0.86044693,0.697245359,0.692827523,0.860000014,0.730000019,0.720000029,0.99999994,0.791224241,0.999799311,1,0.75999999,0.99222225
122,0.858887613,0.706860781,0.716736019,0.850000024,0.730000019,0.730000019,1,0.790826321,0.999967575,1,0.808888912,0.99444443
123,0.861486435,0.571205854,0.730249405,0.850000024,0.709999979,0.720000029,1,0.77109009,0.99603653,1,0.75,0.973333359
124,0.859667242,0.614345133,0.636694491,0.850000024,0.74000001,0.75,0.99999994,0.783216536,0.983703017,1,0.763333321,0.945555568
125,0.861226559,0.668659091,0.654106081,0.850000024,0.720000029,0.670000017,1,0.780929089,0.973052144,1,0.75444442,0.923333347
126,0.861226559,0.626039445,0.6985448,0.850000024,0.720000029,0.730000019,1,0.804825962,0.995881259,1,0.794444442,0.967777789
127,0.859667242,0.623700619,0.680613339,0.850000024,0.74000001,0.74000001,1,0.81608516,1,1,0.837777793,0.99888891
128,0.859927177,0.60758841,0.710239053,0.850000024,0.689999998,0.74000001,1,0.806417763,1.000000119,1,0.816666663,1
129,0.861486435,0.600051999,0.689189196,0.850000024,0.699999988,0.720000029,1,0.821850717,1,1,0.816666663,1
