Epoch,LLDLwFW_valacc,LLDLwoFW_valacc,DenseModel_valacc,LLDLwFW_trainacc,LLDLwoFW_trainacc,DenseModel_trainacc,LLDLwFW_v1_valacc,LLDLwFW_v1_trainacc
143,0.860000014,0.529999971,0.709999979,1,0.603333354,1,0.860000014,0.99444443
144,0.800000012,0.529999971,0.680000007,0.99777776,0.608888865,1,0.850000024,0.99777776
145,0.730000019,0.5,0.709999979,0.808888912,0.598888874,1,0.870000005,0.99555558
146,0.829999983,0.74000001,0.709999979,0.913333356,0.577777803,1,0.850000024,0.99666667
147,0.839999974,0.49000001,0.660000026,0.984444439,0.605555534,0.871111095,0.870000005,0.99777776
148,0.860000014,0.540000021,0.649999976,0.98555553,0.600000024,0.881111085,0.850000024,0.99222225
149,0.839999974,0.519999981,0.680000007,0.98555553,0.633333325,0.971111119,0.850000024,0.99888891
150,0.829999983,0.49000001,0.699999988,0.99333334,0.617777765,0.99666667,0.850000024,1
151,0.850000024,0.479999989,0.689999998,0.99555558,0.606666684,1,0.850000024,0.978888869
152,0.839999974,0.49000001,0.699999988,1,0.614444435,1,0.860000014,0.946666658
153,0.839999974,0.479999989,0.699999988,0.99666667,0.596666694,1,0.870000005,0.970000029
154,0.839999974,0.49000001,0.699999988,0.99888891,0.622222245,1,0.860000014,0.99000001
155,0.850000024,0.460000008,0.689999998,0.99333334,0.601111114,1,0.870000005,0.99666667
156,0.850000024,0.74000001,0.699999988,0.99444443,0.593333304,1,0.860000014,0.99777776
157,0.850000024,0.529999971,0.699999988,0.99666667,0.626666665,1,0.860000014,0.99888891
158,0.850000024,0.74000001,0.699999988,0.98777777,0.613333344,1,0.860000014,1
159,0.860000014,0.5,0.689999998,0.99555558,0.605555534,1,0.860000014,0.99888891
160,0.860000014,0.529999971,0.699999988,1,0.617777765,1,0.860000014,0.99777776
161,0.860000014,0.519999981,0.709999979,1,0.645555556,1,0.860000014,1
162,0.860000014,0.519999981,0.699999988,1,0.624444425,1,0.860000014,1
163,0.850000024,0.519999981,0.699999988,1,0.612222195,1,0.870000005,1
164,0.850000024,0.529999971,0.689999998,1,0.632222235,1,0.860000014,1
165,0.850000024,0.50999999,0.689999998,1,0.617777765,1,0.860000014,1
166,0.850000024,0.540000021,0.689999998,1,0.637777805,1,0.860000014,1
167,0.850000024,0.550000012,0.680000007,1,0.644444466,1,0.860000014,1
168,0.850000024,0.529999971,0.680000007,1,0.632222235,1,0.860000014,1
169,0.850000024,0.50999999,0.689999998,1,0.606666684,1,0.870000005,1
170,0.850000024,0.529999971,0.680000007,1,0.637777805,1,0.860000014,1
171,0.860000014,0.569999993,0.680000007,1,0.615555584,1,0.860000014,0.99333334
172,0.860000014,0.5,0.680000007,1,0.614444435,1,0.850000024,0.99000001
173,0.860000014,0.529999971,0.699999988,1,0.628888905,1,0.839999974,0.975555539
174,0.860000014,0.5,0.699999988,1,0.626666665,1,0.839999974,0.975555539
175,0.860000014,0.550000012,0.699999988,1,0.627777755,1,0.860000014,0.9911111
176,0.860000014,0.540000021,0.689999998,1,0.617777765,1,0.860000014,0.99666667
177,0.860000014,0.529999971,0.680000007,1,0.625555575,1,0.860000014,0.99000001
178,0.860000014,0.579999983,0.699999988,1,0.620000005,1,0.839999974,0.98777777
179,0.860000014,0.519999981,0.660000026,1,0.605555534,0.977777779,0.75999999,0.981111109
180,0.860000014,0.540000021,0.689999998,1,0.626666665,0.829999983,0.870000005,0.99000001
181,0.860000014,0.670000017,0.699999988,1,0.620000005,0.928888917,0.879999995,0.99888891
182,0.860000014,0.579999983,0.730000019,1,0.636666656,0.962222219,0.860000014,1
183,0.860000014,0.569999993,0.74000001,1,0.674444437,0.99666667,0.860000014,0.99888891
184,0.860000014,0.74000001,0.730000019,1,0.629999995,1,0.879999995,1
185,0.860000014,0.579999983,0.74000001,1,0.663333356,1,0.879999995,1
186,0.860000014,0.560000002,0.75,1,0.648888886,1,0.879999995,1
187,0.860000014,0.560000002,0.75,1,0.658888876,1,0.879999995,1
188,0.860000014,0.5,0.75,1,0.662222207,1,0.879999995,1
189,0.860000014,0.550000012,0.75,1,0.645555556,1,0.870000005,1
